City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
450,Verrettes,HT,75.2,few clouds,19.05,-72.4667,"La Verrettienne,Hôtel/Restaurant/Club"
453,Grand Gaube,MU,79.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
457,Maragogi,BR,78.08,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
460,Gorontalo,ID,87.51,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
466,Bontang,ID,81.61,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
469,Nishihara,JP,73.4,mist,26.1842,127.7558,Minshuku Agaihama
472,Sao Joao Da Barra,BR,73.71,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
479,Cabo San Lucas,MX,86.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
480,Tagusao,PH,82.98,overcast clouds,9.1924,117.8141,Toledo
482,Kirakira,SB,87.6,overcast clouds,-10.4544,161.9205,SanBiz Lodge
486,Cairns,AU,82.4,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
489,Viedma,AR,73.18,overcast clouds,-40.8135,-62.9967,Hotel Cristal
492,Navolato,MX,86.0,scattered clouds,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
494,Doha,QA,73.4,clear sky,25.2867,51.5333,Doha Marriott Hotel
501,Curillo,CO,73.26,overcast clouds,1.0333,-75.9191,CASA CLUB
502,Monrovia,LR,78.8,mist,6.3005,-10.7969,Sunset Inn
503,Muncar,ID,80.96,overcast clouds,-8.4333,114.3333,Zaky Homestay
504,Lumding,IN,72.5,clear sky,25.7535,93.1732,Hotel Nilamber
507,Dakor,IN,78.8,few clouds,22.75,73.15,Hotel Raj Palace
508,Beliator,IN,73.4,mist,23.3333,87.2167,Hangsaraj Club
511,Odweyne,SO,70.54,scattered clouds,9.4092,45.06399999999999,Eng Hiirey House
512,Carepa,CO,75.72,overcast clouds,7.7585,-76.6525,HOTEL EL EDÉN
513,Puerto Leguizamo,CO,73.45,overcast clouds,-0.1934,-74.7819,la casona de juancho
516,Tabuk,PH,80.74,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
518,Wukari,NG,82.17,overcast clouds,7.85,9.7833,Elimtop
519,Wembley,AU,70.0,clear sky,-31.9333,115.8,Quest on Rheola
523,Coahuayana,MX,82.4,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
525,Karonga,MW,71.1,overcast clouds,-9.9333,33.9333,Sumuka Inn
532,Sulangan,PH,81.81,scattered clouds,11.1373,123.7228,Maia's Beach Resort
534,Mana,GF,77.14,overcast clouds,5.6592,-53.7767,LE SAMANA
538,Yarada,IN,80.51,clear sky,17.65,83.2667,Jeevan
543,Bodden Town,KY,78.8,few clouds,19.2833,-81.25,Will T Place
546,Pueblo,US,77.0,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
550,Dutse,NG,72.73,scattered clouds,11.7594,9.3392,Central Mosque Galamawa
551,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
554,Pali,IN,76.05,clear sky,25.7667,73.3333,Seervi Hostel
558,Nabire,ID,86.68,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
559,Lima,PE,73.99,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
560,Lodwar,KE,78.76,moderate rain,3.1191,35.5973,Turkwel Lodge
561,Buchanan,LR,78.8,mist,5.8808,-10.0467,Kamaneahn Hotel Inc
565,Sri Aman,MY,71.6,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
566,Le Port,RE,78.8,few clouds,-20.9373,55.2919,Villa Maido
567,Kokopo,PG,86.09,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
569,San Rafael,AR,72.1,clear sky,-34.6177,-68.3301,Hotel San Rafael
571,Kaduna,NG,71.64,broken clouds,10.5222,7.4383,HAMDALA HOTEL
577,Harper,LR,78.85,overcast clouds,4.375,-7.7169,Screensaver
579,Acala,MX,73.4,few clouds,16.5667,-92.8,Hotel Jesus Acala
585,Melipilla,CL,73.99,overcast clouds,-33.7,-71.2167,Hotel Los Troncos
587,Port Lincoln,AU,73.09,clear sky,-34.7333,135.8667,Port Lincoln Hotel
590,Pozo Colorado,PY,76.53,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
591,Glendive,US,70.0,clear sky,47.1053,-104.7125,Baymont by Wyndham Glendive
592,Alice Springs,AU,78.8,clear sky,-23.7,133.8833,Desert Palms Alice Springs
601,Port Macquarie,AU,75.99,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
605,Caravelas,BR,76.75,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
614,Frontera Comalapa,MX,70.2,clear sky,15.65,-92.1333,Hotel del Angel
616,Tawau,MY,82.4,few clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
618,Lazaro Cardenas,MX,80.11,clear sky,17.9583,-102.2,Hotel Quinta Antigua
622,Forbes,AU,76.3,clear sky,-33.3833,148.0167,Lake Forbes Motel
630,Massaguet,TD,80.6,overcast clouds,12.4755,15.4365,Alwatane
631,Kahului,US,77.0,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
633,Coxim,BR,78.06,scattered clouds,-18.5067,-54.76,Hotel Avenida
634,Humaita,BR,74.84,light rain,-7.5061,-63.0208,Corrêa Hotel
635,Araceli,PH,82.87,clear sky,10.5529,119.9913,JBryan Traveler's Inn
636,Noumea,NC,82.4,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
638,Rayong,TH,89.01,moderate rain,12.8333,101.4333,Suan Palm Garden View Hotel
640,Pitimbu,BR,75.2,clear sky,-7.4706,-34.8086,Reserva do Abiaí
643,Bolitoc,PH,85.32,clear sky,15.7395,119.8769,Seasun Beach Resort & Hotel
644,Buala,SB,85.1,light rain,-8.145,159.5921,Maringe Lagoon Lodge
645,Poum,NC,80.6,overcast clouds,-20.2333,164.0167,Gîte kajeon
646,Malakal,SS,86.83,scattered clouds,9.5334,31.6605,Nile Palace Hotel
651,Quatre Cocos,MU,79.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
652,Miri,MY,78.8,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
653,Todos Santos,MX,73.0,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
657,Flinders,AU,82.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
658,Kudat,MY,84.2,few clouds,6.8837,116.8477,Dream Garden Hotel
662,Uirauna,BR,75.9,clear sky,-6.5183,-38.4122,Estrela azul
664,San Cristobal,VE,80.6,broken clouds,7.7669,-72.225,Posada Villaven C.A.
665,Srivardhan,IN,74.12,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
668,Paravur,IN,80.6,mist,8.7833,76.7,Bluewater Beach Resort
670,Kolokani,ML,79.14,clear sky,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
673,Maroua,CM,80.6,overcast clouds,10.591,14.3159,Maroua Palace
678,West Wendover,US,71.6,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
